,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,0.0,100,2020,0.23
2,20,0.0,200,4020,0.59
3,20,1.0,300,6020,0.41
4,20,-1.0,400,8020,0.3
5,20,0.0,500,10020,0.57
6,20,0.0,600,12020,0.52
7,20,0.0,700,14020,0.49
8,20,2.0,800,16020,0.58
9,20,2.0,900,18020,0.6
10,20,1.0,1000,20020,0.59
11,20,1.0,1100,22020,0.81
12,20,1.0,1200,24020,0.81
13,20,2.0,1300,26020,0.9
14,20,0.0,1400,28020,0.88
15,20,1.0,1500,30020,0.86
16,20,0.0,1600,32020,0.91
17,20,3.0,1700,34020,0.42
18,20,-1.0,1800,36020,0.69
19,20,1.0,1900,38020,0.98
20,20,2.0,2000,40020,0.84
21,20,3.0,2100,42020,1.21
22,20,2.0,2200,44020,1.25
23,20,2.0,2300,46020,1.5
24,20,0.0,2400,48020,1.73
25,20,0.0,2500,50020,1.67
26,20,-1.0,2600,52020,1.74
27,20,1.0,2700,54020,1.85
28,20,2.0,2800,56020,1.7
29,20,2.0,2900,58020,1.96
30,20,2.0,3000,60020,1.92
31,20,2.0,3100,62020,1.8
32,20,0.0,3200,64020,1.96
33,20,0.0,3300,66020,1.64
34,20,1.0,3400,68020,1.96
35,20,3.0,3500,70020,1.95
36,20,3.0,3600,72020,1.91
37,20,2.0,3700,74020,1.93
38,20,3.0,3800,76020,1.9
39,20,3.0,3900,78020,2.06
40,20,1.0,4000,80020,1.89
41,20,3.0,4100,82020,1.96
42,20,2.0,4200,84020,1.8
43,20,2.0,4300,86020,1.88
44,20,3.0,4400,88020,1.99
45,20,2.0,4500,90020,2.1
46,20,2.0,4600,92020,1.95
47,20,2.0,4700,94020,1.85
48,20,2.0,4800,96020,1.97
49,20,2.0,4900,98020,2.08
50,20,2.0,5000,100020,2.0
