,episode_length,ep_reward,episodes,total_step,average_return
0,20,1.0,0,20,1.0
1,20,1.0,100,2020,-0.17
2,20,-1.0,200,4020,0.05
3,20,0.0,300,6020,-0.09
4,20,1.0,400,8020,0.19
5,20,0.0,500,10020,0.39
6,20,1.0,600,12020,0.5
7,20,0.0,700,14020,0.56
8,20,-1.0,800,16020,0.48
9,20,0.0,900,18020,0.66
10,20,1.0,1000,20020,0.52
11,20,2.0,1100,22020,0.68
12,20,0.0,1200,24020,0.61
13,20,1.0,1300,26020,0.55
14,20,1.0,1400,28020,0.52
15,20,1.0,1500,30020,0.67
16,20,0.0,1600,32020,0.62
17,20,3.0,1700,34020,0.93
18,20,1.0,1800,36020,0.87
19,20,0.0,1900,38020,0.84
20,20,1.0,2000,40020,1.08
21,20,3.0,2100,42020,1.08
22,20,1.0,2200,44020,1.07
23,20,1.0,2300,46020,1.21
24,20,1.0,2400,48020,1.44
25,20,2.0,2500,50020,1.45
26,20,2.0,2600,52020,1.4
27,20,1.0,2700,54020,1.3
28,20,3.0,2800,56020,1.35
29,20,1.0,2900,58020,1.51
30,20,1.0,3000,60020,1.48
31,20,2.0,3100,62020,1.41
32,20,2.0,3200,64020,1.44
33,20,0.0,3300,66020,1.32
34,20,2.0,3400,68020,1.55
35,20,3.0,3500,70020,1.49
36,20,3.0,3600,72020,1.6
37,20,1.0,3700,74020,1.74
38,20,3.0,3800,76020,1.7
39,20,2.0,3900,78020,1.8
40,20,2.0,4000,80020,1.67
41,20,1.0,4100,82020,1.73
42,20,3.0,4200,84020,1.49
43,20,2.0,4300,86020,1.68
44,20,3.0,4400,88020,1.77
45,20,2.0,4500,90020,1.78
46,20,2.0,4600,92020,1.8
47,20,3.0,4700,94020,1.59
48,20,2.0,4800,96020,1.76
49,20,2.0,4900,98020,1.83
50,20,2.0,5000,100020,1.87
