,episode_length,ep_reward,episodes,total_step,average_return
0,20,-1.0,0,20,-1.0
1,20,1.0,100,2020,-0.02
2,20,1.0,200,4020,0.14
3,20,-1.0,300,6020,-0.06
4,20,0.0,400,8020,0.23
5,20,0.0,500,10020,0.59
6,20,1.0,600,12020,0.6
7,20,2.0,700,14020,0.58
8,20,-2.0,800,16020,0.52
9,20,2.0,900,18020,0.14
10,20,2.0,1000,20020,0.35
11,20,0.0,1100,22020,0.27
12,20,1.0,1200,24020,0.47
13,20,2.0,1300,26020,0.5
14,20,0.0,1400,28020,0.7
15,20,0.0,1500,30020,0.72
16,20,0.0,1600,32020,0.65
17,20,1.0,1700,34020,0.65
18,20,0.0,1800,36020,0.65
19,20,1.0,1900,38020,0.88
20,20,1.0,2000,40020,1.07
21,20,2.0,2100,42020,1.06
22,20,2.0,2200,44020,1.37
23,20,1.0,2300,46020,1.31
24,20,1.0,2400,48020,1.1
25,20,2.0,2500,50020,1.27
26,20,2.0,2600,52020,1.07
27,20,1.0,2700,54020,1.36
28,20,2.0,2800,56020,1.33
29,20,1.0,2900,58020,1.29
30,20,2.0,3000,60020,1.48
31,20,2.0,3100,62020,1.46
32,20,2.0,3200,64020,1.65
33,20,1.0,3300,66020,1.37
34,20,2.0,3400,68020,1.42
35,20,2.0,3500,70020,1.61
36,20,2.0,3600,72020,1.58
37,20,0.0,3700,74020,1.56
38,20,1.0,3800,76020,1.51
39,20,2.0,3900,78020,1.45
40,20,2.0,4000,80020,1.57
41,20,2.0,4100,82020,1.54
42,20,2.0,4200,84020,1.54
43,20,2.0,4300,86020,1.38
44,20,1.0,4400,88020,0.78
45,20,2.0,4500,90020,1.02
46,20,2.0,4600,92020,1.14
47,20,1.0,4700,94020,1.09
48,20,1.0,4800,96020,1.15
49,20,2.0,4900,98020,1.31
50,20,0.0,5000,100020,1.22
