,episode_length,ep_reward,episodes,total_step,average_return
0,20,0.0,0,20,0.0
1,20,0.0,100,2020,0.35
2,20,0.0,200,4020,0.35
3,20,0.0,300,6020,-0.01
4,20,0.0,400,8020,0.1
5,20,2.0,500,10020,0.52
6,20,1.0,600,12020,1.06
7,20,0.0,700,14020,1.12
8,20,2.0,800,16020,1.24
9,20,2.0,900,18020,1.08
10,20,2.0,1000,20020,1.15
11,20,1.0,1100,22020,1.19
12,20,1.0,1200,24020,1.24
13,20,0.0,1300,26020,1.26
14,20,1.0,1400,28020,1.33
15,20,1.0,1500,30020,1.34
16,20,2.0,1600,32020,1.5
17,20,0.0,1700,34020,1.46
18,20,2.0,1800,36020,1.41
19,20,1.0,1900,38020,1.39
20,20,2.0,2000,40020,1.46
21,20,2.0,2100,42020,1.39
22,20,2.0,2200,44020,1.54
23,20,1.0,2300,46020,1.49
24,20,2.0,2400,48020,1.45
25,20,1.0,2500,50020,1.35
26,20,1.0,2600,52020,1.5
27,20,2.0,2700,54020,1.36
28,20,2.0,2800,56020,1.5
29,20,2.0,2900,58020,1.43
30,20,1.0,3000,60020,1.52
31,20,1.0,3100,62020,1.42
32,20,1.0,3200,64020,1.44
33,20,1.0,3300,66020,1.42
34,20,2.0,3400,68020,1.47
35,20,1.0,3500,70020,1.46
36,20,1.0,3600,72020,1.46
37,20,1.0,3700,74020,1.45
38,20,2.0,3800,76020,1.53
39,20,2.0,3900,78020,1.09
40,20,1.0,4000,80020,1.48
41,20,1.0,4100,82020,1.39
42,20,1.0,4200,84020,1.42
43,20,2.0,4300,86020,1.5
44,20,2.0,4400,88020,1.61
45,20,1.0,4500,90020,1.49
46,20,2.0,4600,92020,1.75
47,20,2.0,4700,94020,1.51
48,20,2.0,4800,96020,1.59
49,20,2.0,4900,98020,1.61
50,20,1.0,5000,100020,1.64
